Topic,Topic,Year,Paper count
25,53,1993,1
25,53,1986,1
25,53,2001,1
25,53,1991,1
25,54,2001,1
25,55,2001,1
25,56,1993,1
25,56,1986,1
25,56,1996,1
25,56,1989,1
25,57,2008,1
25,58,2012,1
25,61,2008,1
25,61,2012,1
25,62,2001,1
25,63,2001,1
25,63,2012,1
25,65,2009,1
25,68,1989,1
25,69,1993,1
25,69,1989,1
25,69,1990,1
25,69,1981,1
25,76,1993,1
25,76,1994,1
25,76,2002,1
25,78,1995,1
25,78,1996,1
25,78,1998,1
25,78,1999,2
25,85,2001,1
25,85,1995,1
25,88,1994,1
25,88,1996,1
25,91,2008,1
26,28,2005,1
26,28,2007,1
26,33,2006,1
26,33,2015,2
26,36,2008,1
26,40,2006,1
26,47,1998,1
26,49,1999,1
26,50,2014,1
26,50,2015,1
26,51,2010,1
26,53,2000,1
26,53,2004,1
26,53,2007,1
26,55,2012,1
26,55,2013,2
26,55,2014,1
26,55,2015,1
26,57,2004,1
26,57,2014,1
26,65,2005,1
26,65,2015,1
26,68,2000,1
26,68,2015,1
26,70,2015,1
26,75,2005,1
26,75,2013,1
26,78,2015,1
26,83,2011,1
26,85,1996,1
26,85,1997,1
26,85,2002,1
26,85,2006,1
26,85,2007,1
26,85,2010,1
26,85,2012,1
26,89,1982,1
27,30,2008,1
27,30,2000,1
27,30,2007,1
27,40,1995,1
27,40,1997,1
27,40,1998,1
27,40,2000,1
27,40,2001,1
27,40,2004,1
27,40,2005,1
27,40,2006,1
27,40,2007,1
27,40,2010,1
27,43,1997,1
27,46,2007,1
27,51,2005,1
27,52,1998,1
27,53,2008,1
27,53,1993,1
27,53,1996,1
27,58,2007,1
27,59,1989,1
27,59,2002,1
27,59,2003,1
27,59,2004,3
27,59,2005,3
27,59,2006,1
27,59,2007,1
27,59,2013,1
27,59,2014,1
27,61,2008,1
27,62,1995,2
27,62,1996,1
27,62,2007,1
27,62,2008,1
27,62,2013,1
27,62,2014,1
27,63,2004,1
27,63,2007,2
27,69,1998,1
27,69,1999,1
27,71,2014,2
27,73,2000,1
27,73,2008,1
27,73,2002,1
27,73,2005,1
27,73,2006,1
27,75,1995,1
27,75,2004,1
27,81,1998,1
27,81,2001,1
27,81,2003,1
27,81,2004,2
27,81,2006,1
27,81,2007,1
27,85,1993,1
27,85,1995,2
27,85,1997,1
27,85,1998,2
27,85,2000,3
27,85,2001,3
27,85,2002,1
27,85,2003,3
27,85,2004,3
27,85,2005,2
27,85,2007,1
27,85,2012,1
27,86,2000,1
27,86,2010,1
27,86,2006,1
27,86,2007,1
28,33,2005,1
28,36,2004,1
28,44,2013,1
28,50,2012,1
28,50,2013,1
28,50,2014,1
28,50,2015,1
28,51,1991,1
28,57,2009,1
28,57,2011,1
28,57,2007,1
28,68,2005,1
28,68,2013,1
28,68,1991,1
28,75,2005,1
28,75,2007,1
28,75,2009,1
28,75,2011,2
28,75,2012,2
28,75,2013,2
28,75,2015,1
28,81,2007,1
28,85,2003,1
28,94,2014,1
29,32,2005,1
29,35,2005,1
29,43,2009,1
29,43,2010,1
29,43,2012,1
29,43,2015,2
29,51,1997,1
29,52,2003,1
29,52,2005,1
29,52,1997,1
29,54,1997,1
29,58,2013,1
29,72,2013,1
29,85,2004,1
29,85,2001,1
29,85,2015,1
29,85,2012,1
29,85,2007,1
29,86,2013,1
29,86,2015,1
29,92,2011,1
30,33,2001,1
30,33,2010,1
30,34,2004,1
30,34,2012,1
30,34,2006,1
30,34,2015,1
30,44,2002,1
30,45,2010,1
30,45,2013,3
30,45,2014,1
30,45,2015,1
30,46,2007,1
30,50,2010,1
30,50,2011,1
30,57,1999,1
30,58,2006,1
30,58,2007,1
30,58,2009,1
30,58,2011,1
30,58,2012,1
30,58,2013,1
30,58,2014,1
30,58,2015,1
30,65,2009,1
30,69,1983,1
30,77,2008,1
30,78,2004,1
30,78,2013,1
30,79,2007,1
30,82,2009,1
30,82,2014,1
30,85,2000,1
31,34,2011,1
31,41,2005,1
31,44,2003,1
31,44,2004,1
31,44,2015,1
31,53,2013,1
31,63,2014,1
31,67,2014,2
31,67,2015,1
31,68,2008,1
31,68,2011,1
31,68,2012,1
31,68,2014,2
31,68,2015,1
31,73,2014,1
31,87,2008,1
32,36,2002,1
32,36,2012,1
32,36,2013,1
32,49,2000,1
32,51,2000,1
32,55,2006,1
32,57,1996,1
32,57,2001,1
32,57,2003,1
32,57,2004,1
32,57,2006,1
32,57,2008,2
32,57,2012,1
32,57,2013,2
32,57,2015,1
32,61,2005,1
32,62,2001,1
32,62,2015,1
32,68,1998,1
32,69,1993,1
32,75,2003,1
32,75,2004,1
32,81,2005,1
32,85,2000,1
32,85,2001,1
32,85,2002,1
32,85,2004,1
32,85,1999,1
32,88,1996,1
32,88,1997,1
32,88,1998,1
32,91,2001,1
32,91,2004,1
32,91,2013,1
32,91,2015,1
33,34,2013,1
33,41,2014,1
33,41,2015,1
33,45,2008,1
33,45,2011,2
33,45,2015,2
33,46,2011,1
33,47,2009,1
33,58,2000,1
33,58,2011,1
33,58,2005,1
33,58,2007,1
33,63,2000,1
33,64,2009,1
33,67,2015,1
33,68,2005,1
33,68,2011,1
33,68,2012,1
33,68,2013,1
33,68,2014,1
33,68,2015,1
33,76,2011,2
33,77,2010,1
33,78,2001,1
33,78,1998,1
33,78,2014,1
33,79,1994,1
33,82,2001,1
33,82,2010,1
33,82,2012,1
33,82,2014,2
33,82,2009,1
33,83,2013,1
33,83,2014,1
33,84,2015,1
33,87,2015,1
33,91,2000,1
33,93,2011,1
33,93,2012,3
33,93,2013,1
33,93,2014,2
33,93,2015,1
33,94,2001,1
34,40,2012,1
34,40,2015,1
34,42,2014,1
34,45,2015,1
34,49,2004,1
34,55,2012,1
34,57,2014,1
34,58,2012,2
34,58,2015,1
34,63,2011,1
34,63,2013,1
34,69,2015,1
34,71,2012,1
34,71,2013,1
34,71,2014,1
34,75,2003,1
34,78,2000,1
34,78,2004,1
34,78,2006,1
34,78,2009,2
34,78,2011,1
34,78,2012,2
34,78,2013,2
34,78,2014,2
34,78,2015,2
34,80,2013,1
34,90,2013,1
34,91,2014,2
34,92,2015,1
35,40,1992,1
35,40,1997,2
35,40,1998,2
35,40,1999,1
35,40,2000,2
35,40,2001,1
35,40,2002,1
35,40,2004,1
35,40,2006,2
35,40,2008,1
35,40,2011,1
35,40,1981,1
35,40,2014,1
35,41,1994,1
35,47,1989,1
35,47,1998,1
35,49,2000,1
35,52,2002,1
35,52,1998,1
35,52,1991,1
35,53,1986,1
35,53,1995,1
35,53,1994,1
35,53,1987,1
35,54,1984,1
35,54,1997,1
35,54,1999,1
35,58,2014,1
35,60,1981,1
35,63,1996,1
35,68,1989,1
35,68,1999,1
35,69,1986,1
35,69,1980,1
35,69,1982,1
35,69,1990,1
35,73,2014,1
35,75,2002,1
35,79,1985,1
35,83,1981,1
35,88,1994,1
35,89,1989,1
35,89,1990,1
35,89,1992,1
35,89,1994,1
35,89,2008,1
35,89,1980,1
35,89,1982,1
36,41,2009,1
36,45,2008,1
36,46,2010,1
36,57,2012,2
36,57,1997,1
