paperID,author,col3,col4
USENIX_99_11,Mike Hibler,,University of Utah
USENIX_99_11,Dave Andersen,,University of Utah
USENIX_99_11,Jay Lepreau,,University of Utah
USENIX_99_12,Anup K. Ghosh,,Reliable Software Technologies
USENIX_99_12,Aaron Schwartzbard,,Reliable Software Technologies
USENIX_99_13,Peter Gutmann,,University of Auckland
USENIX_99_14,Alma Whitten,,Carnegie Mellon University
USENIX_99_14,J. D. Tygar,,University of California at Berkeley
USENIX_99_15,Mary Ellen Zurko,,Iris Associates
USENIX_99_15,John Wray,,Iris Associates
USENIX_99_15,Ian Morrison,,IBM
USENIX_99_15,Mike Shanzer,,Iris Associates
USENIX_99_15,Mike Crane,,IBM
USENIX_99_15,Pat Booth,,Lotus
USENIX_99_15,Ellen McDermott,,IBM
USENIX_99_15,Warren Macek,,Iris Associates
USENIX_99_15,Ann Graham,,IBM
USENIX_99_15,Jim Wade,,IBM
USENIX_99_15,Tom Sandlin,,IBM
USENIX_99_16,Daniel F. Sterne,,NAI Labs Network Associates Inc. 
USENIX_99_16,Gregg W. Tally,,NAI Labs Network Associates Inc. 
USENIX_99_16,C. Durward McDonell,,NAI Labs Network Associates Inc. 
USENIX_99_16,David L. Sherman,,NAI Labs Network Associates Inc. 
USENIX_99_16,David L. Sames,,NAI Labs Network Associates Inc. 
USENIX_99_16,Pierre X. Pasturel,,NAI Labs Network Associates Inc. 
USENIX_99_16,E. John Sebes,,Kroll-OGara Information Security Group
USENIX_99_17,Mary Thompson,,Lawrence Berkeley National Laboratory
USENIX_99_17,William Johnston,,Lawrence Berkeley National Laboratory
USENIX_99_17,Srilekha Mudumbai,,Lawrence Berkeley National Laboratory
USENIX_99_17,Gary Hoo,,Lawrence Berkeley National Laboratory
USENIX_99_17,Keith Jackson,,Lawrence Berkeley National Laboratory
USENIX_99_17,Abdelilah Essiari,,Lawrence Berkeley National Laboratory
USENIX_99_18,Ko Fujimura,,NTT Information Sharing Platform Laboratories
USENIX_99_18,Hiroshi Kuno,,NTT Information Sharing Platform Laboratories
USENIX_99_18,Masayuki Terada,,NTT Information Sharing Platform Laboratories
USENIX_99_18,Kazuo Matsuyama,,NTT Information Sharing Platform Laboratories
USENIX_99_18,Yasunao Mizuno,,NTT Information Sharing Platform Laboratories
USENIX_99_18,Jun Sekine,,NTT Information Sharing Platform Laboratories
USENIX_00_1,Anurag Acharya,,University of California at Santa Barbara
USENIX_00_1,Mandar Raje,,University of California at Santa Barbara
USENIX_00_2,Leendert van Doorn,,IBM T. John Watson Research Center
USENIX_00_3,Niels Provos,,University of Michigan Ann Arbor
USENIX_00_4,Rachna Dhamija,,University of California at Berkeley
USENIX_00_4,Adrian Perrig,,University of California at Berkeley
USENIX_00_5,Marc Waldman,,New York University
USENIX_00_5,Aviel D. Rubin,,AT&T Labs Research
USENIX_00_5,Lorrie Faith Cranor,,AT&T Labs Research
USENIX_00_6,Markus G. Kuhn,,University of Cambridge U. K. 
USENIX_00_7,Josyula R. Rao,,IBM T. John Watson Research Center
USENIX_00_7,Pankaj Rohatgi,,IBM T. John Watson Research Center
USENIX_00_8,Peter Gutmann,,University of Auckland
USENIX_00_9,Naomaru Itoi,,University of Michigan Ann Arbor
USENIX_00_10,John Scott Robin,,U. S. Air Force
USENIX_00_10,Cynthia E. Irvine,,Naval Postgraduate School
USENIX_00_11,Calvin Ko,,NAI Labs
USENIX_00_11,Timothy Fraser,,NAI Labs
USENIX_00_11,Lee Badger,,NAI Labs
USENIX_00_11,Douglas Kilpatrick,,NAI Labs
USENIX_00_12,Yin Zhang,,Cornell University
USENIX_00_12,Vern Paxson,,AT&T Center for Internet Research at ICSI
USENIX_00_13,Yin Zhang,,Cornell University
